Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product,Category,Quantity,Unit_Price,Discount,Revenue
O0045,2025-05-07,C020,Pooja Sinha,P006,Cotton Hoodie,Fashion,1,1799,0.05,1709.05
O0046,2025-12-16,C006,Sneha Kapoor,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0047,2025-01-31,C010,Neha Malhotra,P008,Coffee Maker,Home,1,3499,0.0,3499.0
O0048,2025-12-09,C014,Meera Iyer,P005,Bluetooth Speaker,Electronics,1,1999,0.05,1899.05
O0049,2025-04-08,C011,Arjun Patel,P005,Bluetooth Speaker,Electronics,2,1999,0.0,3998.0
O0050,2025-06-10,C011,Arjun Patel,P006,Cotton Hoodie,Fashion,3,1799,0.0,5397.0
O0051,2025-11-24,C008,Ishita Roy,P009,Desk Lamp,Home,1,999,0.0,999.0
O0052,2025-02-09,C007,Aditya Jain,P006,Cotton Hoodie,Fashion,1,1799,0.05,1709.05
O0053,2025-08-29,C003,Rahul Singh,P003,Laptop Backpack,Accessories,1,1499,0.05,1424.05
O0054,2025-02-09,C019,Dev Khanna,P008,Coffee Maker,Home,1,3499,0.1,3149.1
O0055,2025-01-14,C020,Pooja Sinha,P003,Laptop Backpack,Accessories,1,1499,0.05,1424.05
O0056,2025-10-30,C011,Arjun Patel,P004,Running Shoes,Fashion,1,2999,0.1,2699.1
O0057,2025-12-14,C020,Pooja Sinha,P004,Running Shoes,Fashion,1,2999,0.0,2999.0
O0058,2025-04-04,C013,Siddharth Bose,P006,Cotton Hoodie,Fashion,3,1799,0.15,4587.45
O0059,2025-01-17,C004,Ananya Gupta,P002,Smart Watch,Electronics,2,3999,0.0,7998.0
O0060,2025-11-22,C020,Pooja Sinha,P010,Mechanical Keyboard,Electronics,1,4499,0.05,4274.05
O0061,2025-11-23,C017,Nikhil Kumar,P009,Desk Lamp,Home,1,999,0.0,999.0
O0062,2025-10-09,C010,Neha Malhotra,P004,Running Shoes,Fashion,1,2999,0.05,2849.05
O0063,2025-02-04,C009,Vikram Das,P004,Running Shoes,Fashion,3,2999,0.05,8547.15
O0064,2025-12-08,C008,Ishita Roy,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0065,2025-10-31,C001,Aarav Sharma,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0066,2025-08-07,C015,Karan Shah,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0067,2025-04-24,C001,Aarav Sharma,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0068,2025-07-02,C007,Aditya Jain,P010,Mechanical Keyboard,Electronics,1,4499,0.0,4499.0
O0069,2025-03-25,C019,Dev Khanna,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0070,2025-02-14,C001,Aarav Sharma,P007,Office Chair,Furniture,3,6999,0.0,20997.0
O0071,2025-08-01,C019,Dev Khanna,P007,Office Chair,Furniture,2,6999,0.0,13998.0
O0072,2025-09-19,C018,Tanya Agarwal,P009,Desk Lamp,Home,1,999,0.05,949.05
O0073,2025-02-15,C017,Nikhil Kumar,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0074,2025-04-20,C002,Priya Verma,P004,Running Shoes,Fashion,3,2999,0.0,8997.0
O0075,2025-12-15,C011,Arjun Patel,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0076,2025-01-10,C020,Pooja Sinha,P010,Mechanical Keyboard,Electronics,1,4499,0.05,4274.05
O0077,2025-02-08,C003,Rahul Singh,P007,Office Chair,Furniture,3,6999,0.0,20997.0
O0078,2025-12-19,C015,Karan Shah,P005,Bluetooth Speaker,Electronics,1,1999,0.05,1899.05
O0079,2025-10-21,C004,Ananya Gupta,P010,Mechanical Keyboard,Electronics,2,4499,0.0,8998.0
O0080,2025-01-07,C013,Siddharth Bose,P008,Coffee Maker,Home,3,3499,0.0,10497.0
O0081,2025-10-18,C006,Sneha Kapoor,P009,Desk Lamp,Home,1,999,0.0,999.0
O0082,2025-08-10,C007,Aditya Jain,P006,Cotton Hoodie,Fashion,2,1799,0.1,3238.2
O0083,2025-05-31,C016,Riya Sen,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0084,2025-08-26,C019,Dev Khanna,P005,Bluetooth Speaker,Electronics,1,1999,0.1,1799.1
O0085,2025-04-01,C006,Sneha Kapoor,P005,Bluetooth Speaker,Electronics,2,1999,0.0,3998.0
O0086,2025-10-26,C020,Pooja Sinha,P008,Coffee Maker,Home,3,3499,0.0,10497.0
O0087,2025-08-05,C018,Tanya Agarwal,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0088,2025-04-24,C004,Ananya Gupta,P009,Desk Lamp,Home,1,999,0.0,999.0
O0089,2025-03-02,C019,Dev Khanna,P010,Mechanical Keyboard,Electronics,2,4499,0.0,8998.0
O0090,2025-02-12,C012,Kavya Nair,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0091,2025-03-05,C015,Karan Shah,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0092,2025-09-06,C009,Vikram Das,P006,Cotton Hoodie,Fashion,2,1799,0.0,3598.0
O0093,2025-07-04,C017,Nikhil Kumar,P004,Running Shoes,Fashion,3,2999,0.1,8097.3
O0094,2025-01-16,C016,Riya Sen,P009,Desk Lamp,Home,2,999,0.0,1998.0
O0095,2025-04-02,C018,Tanya Agarwal,P003,Laptop Backpack,Accessories,1,1499,0.05,1424.05
O0096,2025-01-18,C019,Dev Khanna,P005,Bluetooth Speaker,Electronics,1,1999,0.0,1999.0
O0097,2025-02-07,C019,Dev Khanna,P006,Cotton Hoodie,Fashion,3,1799,0.1,4857.3
O0098,2025-12-04,C003,Rahul Singh,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0099,2025-11-26,C017,Nikhil Kumar,P009,Desk Lamp,Home,2,999,0.15,1698.3
O0100,2025-10-12,C007,Aditya Jain,P009,Desk Lamp,Home,2,999,0.05,1898.1
O0101,2025-02-19,C013,Siddharth Bose,P008,Coffee Maker,Home,2,3499,0.0,6998.0
O0102,2025-11-10,C007,Aditya Jain,P006,Cotton Hoodie,Fashion,3,1799,0.0,5397.0
O0103,2025-08-22,C016,Riya Sen,P004,Running Shoes,Fashion,2,2999,0.0,5998.0
O0104,2025-06-24,C002,Priya Verma,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0105,2025-05-15,C013,Siddharth Bose,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0106,2025-05-19,C015,Karan Shah,P004,Running Shoes,Fashion,1,2999,0.05,2849.05
O0107,2025-12-13,C005,Rohan Mehta,P003,Laptop Backpack,Accessories,2,1499,0.1,2698.2
O0108,2025-04-30,C018,Tanya Agarwal,P005,Bluetooth Speaker,Electronics,2,1999,0.0,3998.0
O0109,2025-08-27,C020,Pooja Sinha,P009,Desk Lamp,Home,1,999,0.1,899.1
O0110,2025-08-20,C012,Kavya Nair,P006,Cotton Hoodie,Fashion,2,1799,0.0,3598.0
O0111,2025-03-15,C004,Ananya Gupta,P008,Coffee Maker,Home,1,3499,0.05,3324.05
O0112,2025-02-18,C011,Arjun Patel,P009,Desk Lamp,Home,3,999,0.05,2847.15
O0113,2025-09-22,C013,Siddharth Bose,P001,Wireless Headphones,Electronics,2,2499,0.0,4998.0
O0114,2025-02-20,C011,Arjun Patel,P010,Mechanical Keyboard,Electronics,2,4499,0.15,7648.3
O0115,2025-08-05,C004,Ananya Gupta,P009,Desk Lamp,Home,1,999,0.1,899.1
O0116,2025-12-12,C020,Pooja Sinha,P008,Coffee Maker,Home,3,3499,0.0,10497.0
O0117,2025-02-04,C015,Karan Shah,P006,Cotton Hoodie,Fashion,1,1799,0.05,1709.05
O0118,2025-07-26,C004,Ananya Gupta,P002,Smart Watch,Electronics,1,3999,0.05,3799.05
O0119,2025-07-10,C010,Neha Malhotra,P005,Bluetooth Speaker,Electronics,2,1999,0.1,3598.2
O0120,2025-06-29,C019,Dev Khanna,P008,Coffee Maker,Home,2,3499,0.05,6648.1
O0121,2025-02-13,C003,Rahul Singh,P010,Mechanical Keyboard,Electronics,3,4499,0.0,13497.0
O0122,2025-08-29,C015,Karan Shah,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0123,2025-09-02,C019,Dev Khanna,P008,Coffee Maker,Home,1,3499,0.0,3499.0
O0124,2025-10-06,C015,Karan Shah,P009,Desk Lamp,Home,2,999,0.0,1998.0
O0125,2025-04-25,C016,Riya Sen,P004,Running Shoes,Fashion,2,2999,0.0,5998.0
O0126,2025-12-08,C020,Pooja Sinha,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0127,2025-09-24,C015,Karan Shah,P004,Running Shoes,Fashion,1,2999,0.05,2849.05
O0128,2025-10-12,C019,Dev Khanna,P010,Mechanical Keyboard,Electronics,1,4499,0.0,4499.0
O0129,2025-12-27,C003,Rahul Singh,P004,Running Shoes,Fashion,2,2999,0.05,5698.1
O0130,2025-02-13,C017,Nikhil Kumar,P010,Mechanical Keyboard,Electronics,1,4499,0.1,4049.1
O0131,2025-02-14,C018,Tanya Agarwal,P007,Office Chair,Furniture,1,6999,0.05,6649.05
O0132,2025-01-05,C001,Aarav Sharma,P007,Office Chair,Furniture,2,6999,0.0,13998.0
O0133,2025-04-18,C015,Karan Shah,P009,Desk Lamp,Home,1,999,0.0,999.0
O0134,2025-04-21,C007,Aditya Jain,P005,Bluetooth Speaker,Electronics,1,1999,0.1,1799.1
O0135,2025-02-10,C015,Karan Shah,P008,Coffee Maker,Home,2,3499,0.15,5948.3
O0136,2025-04-14,C001,Aarav Sharma,P009,Desk Lamp,Home,2,999,0.1,1798.2
O0137,2025-12-31,C001,Aarav Sharma,P002,Smart Watch,Electronics,2,3999,0.05,7598.1
O0138,2025-02-03,C003,Rahul Singh,P007,Office Chair,Furniture,2,6999,0.1,12598.2
O0139,2025-03-29,C018,Tanya Agarwal,P001,Wireless Headphones,Electronics,1,2499,0.0,2499.0
O0140,2025-03-14,C018,Tanya Agarwal,P008,Coffee Maker,Home,2,3499,0.1,6298.2
O0141,2025-01-14,C006,Sneha Kapoor,P007,Office Chair,Furniture,3,6999,0.0,20997.0
O0142,2025-08-10,C004,Ananya Gupta,P001,Wireless Headphones,Electronics,2,2499,0.1,4498.2
O0143,2025-11-07,C020,Pooja Sinha,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0144,2025-12-05,C014,Meera Iyer,P009,Desk Lamp,Home,3,999,0.1,2697.3
O0145,2025-11-02,C017,Nikhil Kumar,P007,Office Chair,Furniture,2,6999,0.0,13998.0
O0146,2025-02-15,C010,Neha Malhotra,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0147,2025-08-18,C011,Arjun Patel,P008,Coffee Maker,Home,2,3499,0.1,6298.2
O0148,2025-09-26,C009,Vikram Das,P002,Smart Watch,Electronics,2,3999,0.0,7998.0
O0149,2025-09-17,C001,Aarav Sharma,P003,Laptop Backpack,Accessories,1,1499,0.15,1274.15
O0150,2025-01-20,C015,Karan Shah,P007,Office Chair,Furniture,2,6999,0.05,13298.1
O0151,2025-11-19,C001,Aarav Sharma,P001,Wireless Headphones,Electronics,1,2499,0.05,2374.05
O0152,2025-02-03,C009,Vikram Das,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0153,2025-06-17,C008,Ishita Roy,P010,Mechanical Keyboard,Electronics,2,4499,0.1,8098.2
O0154,2025-07-28,C006,Sneha Kapoor,P007,Office Chair,Furniture,3,6999,0.0,20997.0
O0155,2025-04-20,C005,Rohan Mehta,P010,Mechanical Keyboard,Electronics,2,4499,0.05,8548.1
O0156,2025-08-25,C011,Arjun Patel,P007,Office Chair,Furniture,1,6999,0.15,5949.15
O0157,2025-07-05,C004,Ananya Gupta,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0158,2025-02-13,C019,Dev Khanna,P005,Bluetooth Speaker,Electronics,1,1999,0.0,1999.0
O0159,2025-04-22,C019,Dev Khanna,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0160,2025-08-20,C016,Riya Sen,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0161,2025-03-21,C004,Ananya Gupta,P005,Bluetooth Speaker,Electronics,3,1999,0.05,5697.15
O0162,2025-01-14,C013,Siddharth Bose,P004,Running Shoes,Fashion,3,2999,0.0,8997.0
O0163,2025-03-24,C010,Neha Malhotra,P005,Bluetooth Speaker,Electronics,1,1999,0.05,1899.05
O0164,2025-09-14,C008,Ishita Roy,P006,Cotton Hoodie,Fashion,2,1799,0.05,3418.1
O0165,2025-04-26,C012,Kavya Nair,P007,Office Chair,Furniture,2,6999,0.1,12598.2
O0166,2025-06-07,C007,Aditya Jain,P006,Cotton Hoodie,Fashion,1,1799,0.05,1709.05
O0167,2025-07-07,C011,Arjun Patel,P004,Running Shoes,Fashion,3,2999,0.05,8547.15
O0168,2025-12-03,C012,Kavya Nair,P009,Desk Lamp,Home,1,999,0.0,999.0
O0169,2025-10-19,C015,Karan Shah,P006,Cotton Hoodie,Fashion,1,1799,0.0,1799.0
O0170,2025-06-30,C011,Arjun Patel,P009,Desk Lamp,Home,1,999,0.0,999.0
O0171,2025-11-04,C002,Priya Verma,P001,Wireless Headphones,Electronics,3,2499,0.0,7497.0
O0172,2025-05-02,C002,Priya Verma,P003,Laptop Backpack,Accessories,2,1499,0.0,2998.0
O0173,2025-09-29,C015,Karan Shah,P004,Running Shoes,Fashion,1,2999,0.0,2999.0
O0174,2025-11-09,C009,Vikram Das,P009,Desk Lamp,Home,2,999,0.0,1998.0
O0175,2025-08-08,C015,Karan Shah,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0176,2025-12-16,C011,Arjun Patel,P004,Running Shoes,Fashion,2,2999,0.15,5098.3
O0177,2025-04-24,C009,Vikram Das,P008,Coffee Maker,Home,1,3499,0.05,3324.05
O0178,2025-05-22,C003,Rahul Singh,P008,Coffee Maker,Home,2,3499,0.05,6648.1
O0179,2025-03-18,C007,Aditya Jain,P001,Wireless Headphones,Electronics,2,2499,0.0,4998.0
O0180,2025-03-02,C010,Neha Malhotra,P002,Smart Watch,Electronics,2,3999,0.1,7198.2
O0181,2025-07-22,C019,Dev Khanna,P010,Mechanical Keyboard,Electronics,3,4499,0.1,12147.3
O0182,2025-02-21,C017,Nikhil Kumar,P010,Mechanical Keyboard,Electronics,2,4499,0.0,8998.0
O0183,2025-01-30,C017,Nikhil Kumar,P004,Running Shoes,Fashion,1,2999,0.1,2699.1
O0184,2025-06-21,C001,Aarav Sharma,P005,Bluetooth Speaker,Electronics,1,1999,0.0,1999.0
O0185,2025-11-28,C007,Aditya Jain,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0186,2025-04-17,C013,Siddharth Bose,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0187,2025-06-30,C020,Pooja Sinha,P006,Cotton Hoodie,Fashion,2,1799,0.0,3598.0
O0188,2025-11-04,C006,Sneha Kapoor,P003,Laptop Backpack,Accessories,3,1499,0.05,4272.15
O0189,2025-09-02,C012,Kavya Nair,P007,Office Chair,Furniture,1,6999,0.1,6299.1
O0190,2025-05-14,C013,Siddharth Bose,P001,Wireless Headphones,Electronics,2,2499,0.0,4998.0
O0191,2025-11-05,C018,Tanya Agarwal,P004,Running Shoes,Fashion,3,2999,0.0,8997.0
O0192,2025-11-07,C011,Arjun Patel,P008,Coffee Maker,Home,2,3499,0.0,6998.0
O0193,2025-08-03,C009,Vikram Das,P010,Mechanical Keyboard,Electronics,1,4499,0.1,4049.1
O0194,2025-07-02,C008,Ishita Roy,P004,Running Shoes,Fashion,2,2999,0.0,5998.0
O0195,2025-05-26,C011,Arjun Patel,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0196,2025-03-06,C013,Siddharth Bose,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0197,2025-01-10,C007,Aditya Jain,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0198,2025-04-23,C014,Meera Iyer,P005,Bluetooth Speaker,Electronics,1,1999,0.05,1899.05
O0199,2025-04-12,C012,Kavya Nair,P001,Wireless Headphones,Electronics,1,2499,0.05,2374.05
O0200,2025-12-25,C011,Arjun Patel,P007,Office Chair,Furniture,2,6999,0.05,13298.1
O0201,2025-10-05,C018,Tanya Agarwal,P005,Bluetooth Speaker,Electronics,3,1999,0.1,5397.3
O0202,2025-12-18,C011,Arjun Patel,P008,Coffee Maker,Home,1,3499,0.1,3149.1
O0203,2025-02-11,C010,Neha Malhotra,P009,Desk Lamp,Home,1,999,0.05,949.05
O0204,2025-07-21,C017,Nikhil Kumar,P005,Bluetooth Speaker,Electronics,2,1999,0.05,3798.1
O0205,2025-12-26,C009,Vikram Das,P010,Mechanical Keyboard,Electronics,1,4499,0.0,4499.0
O0206,2025-10-01,C017,Nikhil Kumar,P008,Coffee Maker,Home,3,3499,0.0,10497.0
O0207,2025-01-15,C001,Aarav Sharma,P002,Smart Watch,Electronics,1,3999,0.1,3599.1
O0208,2025-12-26,C020,Pooja Sinha,P005,Bluetooth Speaker,Electronics,3,1999,0.0,5997.0
O0209,2025-05-31,C007,Aditya Jain,P010,Mechanical Keyboard,Electronics,1,4499,0.1,4049.1
O0210,2025-07-22,C013,Siddharth Bose,P001,Wireless Headphones,Electronics,1,2499,0.1,2249.1
O0211,2025-10-28,C006,Sneha Kapoor,P010,Mechanical Keyboard,Electronics,1,4499,0.0,4499.0
O0212,2025-01-18,C002,Priya Verma,P004,Running Shoes,Fashion,3,2999,0.0,8997.0
O0213,2025-09-18,C019,Dev Khanna,P007,Office Chair,Furniture,2,6999,0.1,12598.2
O0214,2025-09-27,C001,Aarav Sharma,P009,Desk Lamp,Home,2,999,0.1,1798.2
O0215,2025-03-27,C008,Ishita Roy,P001,Wireless Headphones,Electronics,3,2499,0.05,7122.15
O0216,2025-01-02,C005,Rohan Mehta,P009,Desk Lamp,Home,1,999,0.0,999.0
O0217,2025-01-11,C006,Sneha Kapoor,P007,Office Chair,Furniture,2,6999,0.0,13998.0
O0218,2025-09-03,C014,Meera Iyer,P009,Desk Lamp,Home,2,999,0.0,1998.0
O0219,2025-05-08,C009,Vikram Das,P009,Desk Lamp,Home,2,999,0.1,1798.2
O0220,2025-08-04,C019,Dev Khanna,P003,Laptop Backpack,Accessories,2,1499,0.0,2998.0
O0221,2025-11-20,C003,Rahul Singh,P003,Laptop Backpack,Accessories,2,1499,0.0,2998.0
O0222,2025-05-05,C014,Meera Iyer,P001,Wireless Headphones,Electronics,2,2499,0.05,4748.1
O0223,2025-12-31,C009,Vikram Das,P009,Desk Lamp,Home,2,999,0.0,1998.0
O0224,2025-02-19,C016,Riya Sen,P005,Bluetooth Speaker,Electronics,2,1999,0.05,3798.1
O0225,2025-09-13,C004,Ananya Gupta,P010,Mechanical Keyboard,Electronics,3,4499,0.05,12822.15
O0226,2025-12-01,C002,Priya Verma,P004,Running Shoes,Fashion,1,2999,0.0,2999.0
O0227,2025-05-14,C007,Aditya Jain,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0228,2025-01-07,C008,Ishita Roy,P003,Laptop Backpack,Accessories,2,1499,0.0,2998.0
O0229,2025-05-06,C020,Pooja Sinha,P007,Office Chair,Furniture,3,6999,0.0,20997.0
O0230,2025-10-02,C018,Tanya Agarwal,P010,Mechanical Keyboard,Electronics,3,4499,0.0,13497.0
O0231,2025-11-24,C020,Pooja Sinha,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0232,2025-11-28,C012,Kavya Nair,P004,Running Shoes,Fashion,3,2999,0.0,8997.0
O0233,2025-08-04,C020,Pooja Sinha,P008,Coffee Maker,Home,1,3499,0.05,3324.05
O0234,2025-03-30,C001,Aarav Sharma,P003,Laptop Backpack,Accessories,3,1499,0.0,4497.0
O0235,2025-11-16,C004,Ananya Gupta,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0236,2025-10-17,C002,Priya Verma,P006,Cotton Hoodie,Fashion,1,1799,0.1,1619.1
O0237,2025-06-23,C013,Siddharth Bose,P005,Bluetooth Speaker,Electronics,3,1999,0.15,5097.45
O0238,2025-10-25,C012,Kavya Nair,P007,Office Chair,Furniture,1,6999,0.1,6299.1
O0239,2025-03-09,C006,Sneha Kapoor,P008,Coffee Maker,Home,1,3499,0.05,3324.05
O0240,2025-08-27,C007,Aditya Jain,P002,Smart Watch,Electronics,1,3999,0.15,3399.15
O0241,2025-06-08,C016,Riya Sen,P006,Cotton Hoodie,Fashion,3,1799,0.0,5397.0
O0242,2025-02-07,C019,Dev Khanna,P010,Mechanical Keyboard,Electronics,2,4499,0.0,8998.0
O0243,2025-01-24,C002,Priya Verma,P003,Laptop Backpack,Accessories,2,1499,0.0,2998.0
O0244,2025-04-25,C006,Sneha Kapoor,P006,Cotton Hoodie,Fashion,2,1799,0.0,3598.0
O0245,2025-05-21,C018,Tanya Agarwal,P002,Smart Watch,Electronics,2,3999,0.0,7998.0
O0246,2025-03-17,C018,Tanya Agarwal,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0247,2025-06-02,C010,Neha Malhotra,P004,Running Shoes,Fashion,1,2999,0.0,2999.0
O0248,2025-11-11,C006,Sneha Kapoor,P002,Smart Watch,Electronics,1,3999,0.0,3999.0
O0249,2025-06-28,C003,Rahul Singh,P006,Cotton Hoodie,Fashion,1,1799,0.0,1799.0
O0250,2025-10-12,C009,Vikram Das,P005,Bluetooth Speaker,Electronics,2,1999,0.1,3598.2
O0251,2025-04-28,C011,Arjun Patel,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0252,2025-09-07,C019,Dev Khanna,P005,Bluetooth Speaker,Electronics,3,1999,0.0,5997.0
O0253,2025-12-06,C015,Karan Shah,P004,Running Shoes,Fashion,1,2999,0.0,2999.0
O0254,2025-09-17,C010,Neha Malhotra,P005,Bluetooth Speaker,Electronics,3,1999,0.0,5997.0
O0255,2025-02-20,C013,Siddharth Bose,P001,Wireless Headphones,Electronics,1,2499,0.1,2249.1
O0256,2025-03-10,C002,Priya Verma,P001,Wireless Headphones,Electronics,3,2499,0.0,7497.0
O0257,2025-08-15,C004,Ananya Gupta,P002,Smart Watch,Electronics,2,3999,0.0,7998.0
O0258,2025-08-04,C002,Priya Verma,P006,Cotton Hoodie,Fashion,1,1799,0.1,1619.1
O0259,2025-11-08,C010,Neha Malhotra,P001,Wireless Headphones,Electronics,1,2499,0.05,2374.05
O0260,2025-10-10,C010,Neha Malhotra,P002,Smart Watch,Electronics,3,3999,0.1,10797.3
O0261,2025-12-02,C006,Sneha Kapoor,P003,Laptop Backpack,Accessories,1,1499,0.0,1499.0
O0262,2025-12-26,C020,Pooja Sinha,P007,Office Chair,Furniture,3,6999,0.0,20997.0
O0263,2025-04-27,C015,Karan Shah,P009,Desk Lamp,Home,1,999,0.1,899.1
O0264,2025-03-20,C003,Rahul Singh,P007,Office Chair,Furniture,1,6999,0.0,6999.0
O0265,2025-01-29,C013,Siddharth Bose,P004,Running Shoes,Fashion,2,2999,0.0,5998.0
